code,plot,year,species,#adults,#saplings,#seedlings
366,CM1,2010,Lavandula stoechas,23,5,10
367,CM1,2010,Rosmarinus officinalis,8,3,1
371,CM2,2010,Cistus libanotis,25,2,23
372,CM2,2010,Halimium commutatum,10,0,4
373,CM2,2010,Halimium halimifolium,2,1,2
376,CM2,2010,Lavandula stoechas,3,1,0
377,CM2,2010,Rosmarinus officinalis,14,4,11
381,CM3,2010,Cistus libanotis,23,0,3
382,CM3,2010,Halimium commutatum,5,0,0
383,CM3,2010,Halimium halimifolium,18,0,1
386,CM3,2010,Lavandula stoechas,8,1,1
387,CM3,2010,Rosmarinus officinalis,16,0,2
391,CM4,2010,Cistus libanotis,2,0,2
392,CM4,2010,Halimium commutatum,47,8,40
393,CM4,2010,Halimium halimifolium,10,0,6
396,CM4,2010,Lavandula stoechas,31,6,24
397,CM4,2010,Rosmarinus officinalis,9,1,9
401,CM5,2010,Cistus libanotis,58,0,53
402,CM5,2010,Halimium commutatum,13,1,7
403,CM5,2010,Halimium halimifolium,13,0,9
406,CM5,2010,Lavandula stoechas,58,7,47
407,CM5,2010,Rosmarinus officinalis,11,3,11
411,CM6,2010,Cistus libanotis,12,1,0
412,CM6,2010,Halimium commutatum,18,0,2
413,CM6,2010,Halimium halimifolium,20,1,10
416,CM6,2010,Lavandula stoechas,68,24,54
417,CM6,2010,Rosmarinus officinalis,17,4,12
421,MM1,2010,Cistus libanotis,63,27,75
422,MM1,2010,Halimium commutatum,11,0,5
423,MM1,2010,Halimium halimifolium,6,0,1
426,MM1,2010,Lavandula stoechas,4,0,1
427,MM1,2010,Rosmarinus officinalis,9,4,9
431,MM2,2010,Cistus libanotis,28,5,26
432,MM2,2010,Halimium commutatum,20,4,12
433,MM2,2010,Halimium halimifolium,28,0,0
436,MM2,2010,Lavandula stoechas,5,1,3
437,MM2,2010,Rosmarinus officinalis,7,7,7
441,MM3,2010,Cistus libanotis,2,2,4
442,MM3,2010,Halimium commutatum,29,6,14
443,MM3,2010,Halimium halimifolium,15,0,2
446,MM3,2010,Lavandula stoechas,0,0,0
447,MM3,2010,Rosmarinus officinalis,10,5,7
451,MM4,2010,Cistus libanotis,4,1,1
452,MM4,2010,Halimium commutatum,22,5,5
453,MM4,2010,Halimium halimifolium,51,1,0
456,MM4,2010,Lavandula stoechas,0,0,0
457,MM4,2010,Rosmarinus officinalis,9,23,22
461,MM5,2010,Cistus libanotis,51,11,60
462,MM5,2010,Halimium commutatum,50,13,44
463,MM5,2010,Halimium halimifolium,26,0,13
466,MM5,2010,Lavandula stoechas,32,10,24
467,MM5,2010,Rosmarinus officinalis,51,33,79
471,MM6,2010,Cistus libanotis,25,17,39
472,MM6,2010,Halimium commutatum,19,26,38
473,MM6,2010,Halimium halimifolium,16,14,21
476,MM6,2010,Lavandula stoechas,15,9,18
477,MM6,2010,Rosmarinus officinalis,32,28,33
481,OM1,2010,Cistus libanotis,8,4,10
482,OM1,2010,Halimium commutatum,2,2,2
483,OM1,2010,Halimium halimifolium,6,0,0
486,OM1,2010,Lavandula stoechas,10,0,0
487,OM1,2010,Rosmarinus officinalis,4,0,1
491,OM2,2010,Cistus libanotis,2,0,2
492,OM2,2010,Halimium commutatum,15,0,2
493,OM2,2010,Halimium halimifolium,10,0,6
496,OM2,2010,Lavandula stoechas,18,1,2
